<DATETIME>,<LAST>
20180103 100405,130.750000000
20180103 100405,130.750000000
20180103 100405,130.750000000
20180103 100407,130.810000000
20180103 100407,130.810000000
20180103 100409,130.790000000
20180103 100411,130.800000000
20180103 100412,130.800000000
20180103 100418,130.840000000
20180103 100425,130.790000000
20180103 100425,130.800000000
20180103 100425,130.800000000
20180103 100425,130.800000000
20180103 100425,130.800000000
20180103 100425,130.800000000
20180103 100425,130.800000000
20180103 100446,130.860000000
20180103 100451,130.930000000
20180103 100451,130.940000000
20180103 100452,130.930000000
20180103 100452,130.940000000
20180103 100452,130.940000000
20180103 100452,130.900000000
20180103 100452,130.940000000
20180103 100452,130.950000000
20180103 100452,130.960000000
20180103 100452,130.960000000
20180103 100452,130.970000000
20180103 100452,130.970000000
20180103 100452,130.970000000
20180103 100452,130.970000000
20180103 100452,130.970000000
20180103 100452,130.970000000
20180103 100454,130.920000000
20180103 100454,130.920000000
20180103 100457,130.970000000
20180103 100457,130.970000000
20180103 100457,130.970000000
20180103 100457,130.970000000
20180103 100457,130.980000000
20180103 100457,130.980000000
20180103 100457,130.990000000
20180103 100457,131.000000000
20180103 100457,131.000000000
20180103 100457,131.000000000
20180103 100457,131.000000000
20180103 100457,131.000000000
20180103 100457,131.000000000
20180103 100457,131.000000000
20180103 100457,131.000000000
20180103 100457,131.010000000
20180103 100457,131.010000000
20180103 100457,131.000000000
20180103 100457,131.000000000
20180103 100459,131.060000000
20180103 100459,131.060000000
20180103 100500,131.060000000
20180103 100500,131.060000000
20180103 100500,131.060000000
20180103 100500,131.060000000
20180103 100501,131.060000000
20180103 100501,131.060000000
20180103 100501,131.060000000
20180103 100501,131.060000000
20180103 100501,131.060000000
20180103 100501,131.070000000
20180103 100501,131.070000000
20180103 100501,131.070000000
20180103 100501,131.070000000
20180103 100501,131.070000000
20180103 100501,131.070000000
20180103 100501,131.080000000
20180103 100501,131.090000000
20180103 100501,131.090000000
20180103 100504,131.080000000
20180103 100504,131.080000000
20180103 100504,131.080000000
20180103 100504,131.080000000
20180103 100504,131.090000000
20180103 100504,131.090000000
20180103 100504,131.100000000
20180103 100504,131.100000000
20180103 100508,131.070000000
20180103 100513,131.000000000
20180103 100518,131.000000000
20180103 100518,131.000000000
20180103 100518,131.000000000
20180103 100518,131.000000000
20180103 100518,131.000000000
20180103 100519,131.000000000
20180103 100520,131.000000000
20180103 100524,131.010000000
20180103 100524,131.010000000
20180103 100524,131.010000000
20180103 100524,131.000000000
20180103 100524,131.000000000
20180103 100524,131.000000000
20180103 100524,131.000000000
20180103 100524,131.000000000
20180103 100524,131.000000000
20180103 100524,131.000000000
20180103 100524,131.000000000
20180103 100524,131.000000000
20180103 100524,131.000000000
20180103 100524,131.000000000
20180103 100524,131.000000000
20180103 100524,131.000000000
20180103 100524,131.000000000
20180103 100524,130.910000000
20180103 100524,130.900000000
20180103 100534,130.900000000
20180103 100538,130.820000000
20180103 100538,130.820000000
20180103 100538,130.810000000
20180103 100538,130.800000000
20180103 100538,130.800000000
20180103 100538,130.800000000
20180103 100538,130.800000000
20180103 100538,130.750000000
20180103 100538,130.750000000
20180103 100538,130.760000000
20180103 100539,130.780000000
20180103 100540,130.760000000
20180103 100540,130.760000000
20180103 100540,130.760000000
20180103 100540,130.760000000
20180103 100540,130.760000000
20180103 100540,130.760000000
20180103 100540,130.760000000
20180103 100540,130.760000000
20180103 100540,130.760000000
20180103 100540,130.760000000
20180103 100540,130.760000000
20180103 100540,130.760000000
20180103 100540,130.810000000
20180103 100549,130.730000000
20180103 100549,130.720000000
20180103 100549,130.700000000
20180103 100549,130.700000000
20180103 100549,130.700000000
20180103 100549,130.700000000
20180103 100549,130.700000000
20180103 100549,130.700000000
20180103 100550,130.700000000
20180103 100550,130.700000000
20180103 100550,130.700000000
20180103 100550,130.700000000
20180103 100550,130.700000000
20180103 100550,130.700000000
20180103 100550,130.700000000
20180103 100550,130.680000000
20180103 100550,130.680000000
20180103 100550,130.680000000
20180103 100550,130.670000000
20180103 100550,130.670000000
20180103 100550,130.670000000
20180103 100550,130.660000000
20180103 100550,130.660000000
20180103 100550,130.660000000
20180103 100550,130.660000000
20180103 100550,130.660000000
20180103 100550,130.660000000
20180103 100550,130.660000000
20180103 100550,130.660000000
20180103 100550,130.660000000
20180103 100554,130.730000000
20180103 100555,130.670000000
20180103 100555,130.700000000
20180103 100558,130.660000000
20180103 100558,130.660000000
20180103 100601,130.660000000
20180103 100601,130.660000000
20180103 100602,130.680000000
20180103 100602,130.660000000
20180103 100604,130.660000000
20180103 100604,130.660000000
20180103 100604,130.660000000
20180103 100604,130.660000000
20180103 100604,130.660000000
20180103 100607,130.680000000
20180103 100613,130.650000000
20180103 100613,130.650000000
20180103 100613,130.680000000
20180103 100613,130.690000000
20180103 100613,130.700000000
20180103 100613,130.640000000
20180103 100613,130.640000000
20180103 100617,130.670000000
20180103 100620,130.670000000
20180103 100637,130.670000000
20180103 100637,130.670000000
20180103 100640,130.700000000
20180103 100652,130.710000000
20180103 100652,130.710000000
20180103 100703,130.730000000
20180103 100703,130.730000000
20180103 100704,130.780000000
20180103 100716,130.800000000
20180103 100716,130.800000000
20180103 100724,130.750000000
20180103 100725,130.750000000
20180103 100726,130.680000000
20180103 100726,130.680000000
20180103 100726,130.680000000
20180103 100727,130.680000000
20180103 100733,130.690000000
20180103 100734,130.750000000
20180103 100738,130.680000000
20180103 100738,130.680000000
20180103 100738,130.680000000
20180103 100738,130.680000000
20180103 100738,130.680000000
20180103 100738,130.680000000
20180103 100738,130.680000000
20180103 100738,130.680000000
20180103 100738,130.680000000
20180103 100738,130.680000000
20180103 100743,130.710000000
20180103 100743,130.720000000
20180103 100748,130.720000000
20180103 100748,130.720000000
20180103 100749,130.680000000
20180103 100803,130.670000000
20180103 100803,130.670000000
20180103 100803,130.650000000
20180103 100804,130.650000000
20180103 100804,130.640000000
20180103 100804,130.640000000
20180103 100804,130.630000000
20180103 100806,130.680000000
20180103 100813,130.700000000
20180103 100813,130.720000000
20180103 100813,130.730000000
20180103 100842,130.710000000
20180103 100858,130.750000000
20180103 100858,130.750000000
20180103 100858,130.750000000
20180103 100939,130.800000000
20180103 100957,130.820000000
20180103 100957,130.830000000
20180103 101001,130.800000000
20180103 101002,130.830000000
20180103 101003,130.830000000
20180103 101018,130.800000000
20180103 101020,130.830000000
20180103 101029,130.870000000
20180103 101029,130.880000000
20180103 101029,130.880000000
20180103 101044,130.810000000
20180103 101045,130.800000000
20180103 101045,130.800000000
20180103 101045,130.800000000
20180103 101045,130.800000000
20180103 101047,130.780000000
20180103 101048,130.780000000
20180103 101048,130.780000000
20180103 101048,130.780000000
20180103 101048,130.780000000
20180103 101048,130.780000000
20180103 101100,130.830000000
20180103 101100,130.830000000
20180103 101101,130.830000000
20180103 101111,130.840000000
20180103 101114,130.880000000
20180103 101114,130.880000000
20180103 101114,130.890000000
20180103 101114,130.890000000
20180103 101141,130.880000000
20180103 101141,130.890000000
20180103 101210,130.820000000
20180103 101210,130.810000000
20180103 101221,130.840000000
20180103 101224,130.870000000
20180103 101231,130.820000000
20180103 101251,130.800000000
20180103 101255,130.840000000
20180103 101255,130.870000000
20180103 101255,130.870000000
20180103 101255,130.870000000
20180103 101255,130.880000000
20180103 101255,130.880000000
20180103 101255,130.880000000
20180103 101255,130.890000000
20180103 101255,130.890000000
20180103 101255,130.890000000
20180103 101255,130.890000000
20180103 101255,130.900000000
20180103 101255,130.900000000
20180103 101255,130.900000000
20180103 101255,130.900000000
20180103 101255,130.900000000
20180103 101255,130.910000000
20180103 101255,130.910000000
20180103 101255,130.920000000
20180103 101255,130.930000000
20180103 101255,130.930000000
20180103 101255,130.930000000
20180103 101255,130.940000000
20180103 101255,130.940000000
20180103 101255,130.950000000
20180103 101255,130.950000000
20180103 101255,130.950000000
20180103 101255,130.950000000
20180103 101255,130.960000000
20180103 101255,130.960000000
20180103 101255,130.970000000
20180103 101255,130.970000000
20180103 101255,130.970000000
20180103 101255,130.970000000
20180103 101255,130.970000000
20180103 101255,130.970000000
20180103 101255,130.980000000
20180103 101255,130.980000000
20180103 101255,130.980000000
20180103 101255,130.980000000
20180103 101255,130.990000000
20180103 101255,130.990000000
20180103 101255,130.990000000
20180103 101255,130.990000000
20180103 101255,131.000000000
20180103 101255,131.000000000
20180103 101255,131.000000000
20180103 101255,131.000000000
20180103 101255,130.850000000
20180103 101300,130.850000000
20180103 101301,130.850000000
20180103 101310,130.850000000
20180103 101310,130.850000000
20180103 101312,130.850000000
20180103 101315,130.810000000
20180103 101317,130.800000000
20180103 101317,130.800000000
20180103 101317,130.810000000
20180103 101322,130.810000000
20180103 101322,130.800000000
20180103 101322,130.800000000
20180103 101322,130.800000000
20180103 101328,130.800000000
20180103 101339,130.780000000
20180103 101339,130.780000000
20180103 101339,130.760000000
20180103 101339,130.760000000
20180103 101342,130.750000000
20180103 101345,130.750000000
20180103 101345,130.750000000
20180103 101345,130.730000000
20180103 101345,130.720000000
20180103 101345,130.720000000
20180103 101345,130.720000000
20180103 101357,130.780000000
20180103 101357,130.780000000
20180103 101357,130.850000000
20180103 101358,130.860000000
20180103 101358,130.860000000
20180103 101358,130.860000000
20180103 101358,130.900000000
20180103 101358,130.900000000
20180103 101358,130.900000000
20180103 101359,130.950000000
20180103 101359,130.970000000
20180103 101359,130.980000000
20180103 101359,130.990000000
20180103 101359,130.990000000
20180103 101359,130.990000000
20180103 101400,131.000000000
20180103 101400,131.000000000
20180103 101400,131.000000000
20180103 101400,131.000000000
20180103 101400,131.000000000
20180103 101400,131.000000000
20180103 101400,131.020000000
20180103 101400,131.020000000
20180103 101401,131.010000000
20180103 101404,130.930000000
20180103 101404,130.940000000
20180103 101404,130.940000000
20180103 101404,130.950000000
20180103 101404,130.950000000
20180103 101404,130.960000000
20180103 101404,130.960000000
20180103 101404,130.960000000
20180103 101404,130.970000000
20180103 101404,130.980000000
20180103 101404,130.980000000
20180103 101404,130.980000000
20180103 101404,130.990000000
20180103 101404,130.990000000
20180103 101404,130.990000000
20180103 101404,131.000000000
20180103 101404,131.000000000
20180103 101404,131.010000000
20180103 101404,131.000000000
20180103 101404,131.000000000
20180103 101404,131.020000000
20180103 101404,131.020000000
20180103 101404,131.020000000
20180103 101404,131.040000000
20180103 101406,131.050000000
20180103 101406,131.050000000
20180103 101406,131.050000000
20180103 101406,131.050000000
20180103 101406,131.050000000
20180103 101407,131.060000000
20180103 101408,131.010000000
20180103 101408,131.070000000
20180103 101408,131.070000000
20180103 101408,131.080000000
20180103 101408,131.080000000
20180103 101409,131.020000000
20180103 101409,131.020000000
20180103 101409,131.020000000
20180103 101409,131.020000000
20180103 101414,131.050000000
20180103 101414,131.090000000
20180103 101414,131.090000000
20180103 101421,131.030000000
20180103 101423,131.010000000
20180103 101423,131.020000000
20180103 101425,131.000000000
20180103 101431,131.010000000
20180103 101431,131.000000000
20180103 101434,131.000000000
20180103 101441,131.010000000
20180103 101442,131.010000000
20180103 101444,131.020000000
20180103 101444,131.050000000
20180103 101447,131.010000000
20180103 101455,131.020000000
20180103 101508,131.070000000
20180103 101508,131.070000000
20180103 101508,131.070000000
20180103 101518,131.030000000
20180103 101528,131.060000000
20180103 101533,131.090000000
20180103 101533,131.090000000
20180103 101536,131.060000000
20180103 101537,131.060000000
20180103 101537,131.060000000
20180103 101537,131.050000000
20180103 101537,131.050000000
20180103 101537,131.050000000
20180103 101539,131.070000000
20180103 101540,131.060000000
20180103 101547,131.060000000
20180103 101603,131.060000000
20180103 101603,131.070000000
20180103 101604,131.100000000
20180103 101604,131.100000000
20180103 101604,131.100000000
20180103 101604,131.100000000
20180103 101604,131.100000000
20180103 101604,131.100000000
20180103 101611,131.100000000
20180103 101611,131.100000000
20180103 101611,131.100000000
20180103 101611,131.110000000
20180103 101611,131.110000000
20180103 101611,131.110000000
20180103 101611,131.110000000
20180103 101611,131.110000000
20180103 101611,131.110000000
20180103 101611,131.110000000
20180103 101611,131.110000000
20180103 101611,131.110000000
20180103 101611,131.120000000
20180103 101611,131.120000000
20180103 101611,131.150000000
20180103 101611,131.150000000
20180103 101611,131.150000000
20180103 101611,131.150000000
20180103 101620,131.130000000
20180103 101621,131.110000000
20180103 101621,131.090000000
20180103 101622,131.100000000
20180103 101623,131.100000000
20180103 101625,131.090000000
20180103 101629,131.060000000
20180103 101629,131.060000000
20180103 101629,131.060000000
20180103 101629,131.060000000
20180103 101635,131.100000000
20180103 101637,131.100000000
20180103 101640,131.100000000
20180103 101641,131.080000000
20180103 101641,131.080000000
20180103 101645,131.030000000
20180103 101647,131.030000000
20180103 101649,131.020000000
20180103 101649,131.020000000
20180103 101649,131.020000000
20180103 101651,131.020000000
20180103 101655,131.010000000
20180103 101655,131.000000000
20180103 101656,131.030000000
20180103 101656,131.040000000
20180103 101656,131.060000000
20180103 101657,131.060000000
20180103 101703,131.010000000
20180103 101703,131.000000000
20180103 101710,131.010000000
20180103 101712,131.010000000
20180103 101712,131.010000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101712,131.000000000
20180103 101714,130.960000000
20180103 101714,130.950000000
20180103 101715,131.000000000
20180103 101715,131.000000000
20180103 101715,131.020000000
20180103 101715,131.020000000
20180103 101715,131.020000000
20180103 101723,131.000000000
20180103 101723,130.980000000
20180103 101730,131.000000000
20180103 101731,130.960000000
20180103 101731,130.960000000
20180103 101731,130.930000000
20180103 101731,130.940000000
20180103 101741,130.910000000
20180103 101741,130.920000000
20180103 101808,130.900000000
20180103 101808,130.900000000
20180103 101808,130.890000000
20180103 101808,130.890000000
20180103 101808,130.890000000
20180103 101808,130.880000000
20180103 101808,130.880000000
20180103 101816,130.940000000
20180103 101833,130.880000000
20180103 101850,130.880000000
20180103 101903,130.890000000
20180103 101903,130.890000000
20180103 101903,130.890000000
20180103 101903,130.890000000
20180103 101903,130.890000000
20180103 101904,130.890000000
20180103 101907,130.890000000
20180103 101908,130.890000000
20180103 101908,130.890000000
20180103 101908,130.890000000
20180103 101908,130.890000000
20180103 101909,130.890000000
20180103 101909,130.890000000
20180103 101909,130.890000000
20180103 101910,130.890000000
20180103 101910,130.890000000
20180103 101910,130.890000000
20180103 101910,130.890000000
20180103 101910,130.890000000
20180103 101910,130.880000000
20180103 101910,130.880000000
20180103 101910,130.880000000
20180103 101917,130.850000000
20180103 101918,130.850000000
20180103 101918,130.840000000
20180103 101918,130.820000000
20180103 101918,130.770000000
20180103 101918,130.750000000
20180103 101918,130.720000000
20180103 101918,130.720000000
20180103 101920,130.730000000
20180103 101920,130.730000000
20180103 101920,130.730000000
20180103 101920,130.730000000
20180103 101925,130.750000000
20180103 101926,130.770000000
20180103 101932,130.730000000
20180103 101932,130.730000000
20180103 101932,130.730000000
20180103 101934,130.730000000
20180103 101934,130.720000000
20180103 101934,130.730000000
20180103 101934,130.720000000
20180103 101951,130.740000000
20180103 102003,130.800000000
20180103 102003,130.800000000
20180103 102008,130.760000000
20180103 102008,130.750000000
20180103 102008,130.750000000
20180103 102008,130.730000000
20180103 102012,130.730000000
20180103 102012,130.730000000
20180103 102012,130.720000000
20180103 102013,130.720000000
20180103 102013,130.720000000
20180103 102013,130.760000000
20180103 102013,130.720000000
20180103 102028,130.770000000
20180103 102028,130.770000000
20180103 102028,130.790000000
20180103 102028,130.800000000
20180103 102028,130.810000000
20180103 102028,130.810000000
20180103 102028,130.810000000
20180103 102028,130.830000000
20180103 102028,130.850000000
20180103 102028,130.870000000
20180103 102042,130.840000000
20180103 102045,130.860000000
20180103 102050,130.790000000
20180103 102051,130.850000000
20180103 102054,130.850000000
20180103 102057,130.790000000
20180103 102057,130.790000000
20180103 102057,130.790000000
20180103 102057,130.780000000
20180103 102057,130.770000000
20180103 102057,130.760000000
20180103 102057,130.750000000
20180103 102057,130.740000000
20180103 102057,130.740000000
20180103 102057,130.730000000
20180103 102104,130.830000000
20180103 102111,130.760000000
20180103 102111,130.760000000
20180103 102121,130.750000000
20180103 102121,130.750000000
20180103 102121,130.750000000
20180103 102129,130.770000000
20180103 102129,130.760000000
20180103 102154,130.750000000
20180103 102154,130.730000000
20180103 102224,130.800000000
20180103 102224,130.810000000
20180103 102224,130.810000000
20180103 102229,130.820000000
20180103 102229,130.830000000
20180103 102325,130.840000000
20180103 102340,130.810000000
20180103 102342,130.840000000
20180103 102342,130.850000000
20180103 102405,130.850000000
20180103 102412,130.860000000
20180103 102423,130.860000000
20180103 102423,130.880000000
20180103 102440,130.880000000
20180103 102501,130.880000000
20180103 102504,130.870000000
20180103 102504,130.900000000
20180103 102525,130.910000000
20180103 102525,130.930000000
20180103 102525,130.940000000
20180103 102525,130.940000000
20180103 102526,130.940000000
20180103 102527,130.900000000
20180103 102532,130.920000000
20180103 102532,130.920000000
20180103 102532,130.920000000
20180103 102532,130.920000000
20180103 102557,130.900000000
20180103 102557,130.900000000
20180103 102557,130.900000000
20180103 102557,130.900000000
20180103 102613,130.900000000
20180103 102707,130.870000000
20180103 102717,130.890000000
20180103 102725,130.860000000
20180103 102725,130.850000000
20180103 102725,130.840000000
20180103 102725,130.840000000
20180103 102734,130.890000000
20180103 102748,130.800000000
20180103 102758,130.830000000
20180103 102806,130.800000000
20180103 102806,130.800000000
20180103 102806,130.800000000
20180103 102806,130.800000000
20180103 102822,130.770000000
20180103 102844,130.750000000
