<DATETIME>,<RETURN>
20180103 102557,0.0000001
20180103 102557,0.0000001
20180103 102557,0.0000001
20180103 102613,-0.0299999
20180103 102707,0.0200001
20180103 102717,-0.0299999
20180103 102725,-0.0099999
20180103 102725,-0.0099999
20180103 102725,0.0000001
20180103 102725,0.0500001
20180103 102734,-0.0899999
20180103 102748,0.0300001
20180103 102758,-0.0299999
20180103 102806,0.0000001
20180103 102806,0.0000001
20180103 102806,0.0000001
20180103 102806,-0.0299999
20180103 102822,-0.0199999
20180103 102844,-0.0099999
20180103 102844,0.0000001
20180103 102844,-0.0099999
20180103 102844,0.0000001
20180103 102844,-0.0099999
20180103 102844,0.0100001
20180103 102845,-0.0099999
20180103 102944,0.0000001
20180103 102944,0.0000001
20180103 102944,-0.0199999
20180103 102945,0.0000001
20180103 102945,0.0000001
20180103 102945,-0.0199999
20180103 102945,0.0000001
20180103 102945,0.0000001
20180103 102948,0.0600001
20180103 103000,-0.0099999
20180103 103000,0.0000001
20180103 103000,0.0700001
20180103 103001,0.0100001
20180103 103001,0.0000001
20180103 103001,0.0000001
20180103 103001,0.0100001
20180103 103001,0.0100001
20180103 103001,0.0100001
20180103 103001,0.0000001
20180103 103001,0.0100001
20180103 103001,0.0100001
20180103 103001,0.0000001
20180103 103001,0.0000001
20180103 103001,0.0000001
20180103 103001,0.0000001
20180103 103001,0.0100001
20180103 103001,0.0000001
20180103 103001,0.0000001
20180103 103001,0.0000001
20180103 103004,0.0000001
20180103 103004,0.0000001
20180103 103004,0.0000001
20180103 103004,0.0000001
20180103 103004,0.0000001
20180103 103004,0.0000001
20180103 103004,0.0000001
20180103 103004,-0.1199999
20180103 103010,-0.0099999
20180103 103010,0.0000001
20180103 103010,0.0000001
20180103 103010,0.1000001
20180103 103015,-0.0399999
20180103 103016,0.0200001
20180103 103022,0.0200001
20180103 103028,0.0000001
20180103 103028,0.0100001
20180103 103028,-0.0299999
20180103 103040,0.0000001
20180103 103041,0.0000001
20180103 103047,0.0000001
20180103 103051,0.0000001
20180103 103051,-0.0199999
20180103 103057,0.0100001
20180103 103101,0.0000001
20180103 103102,0.0000001
20180103 103106,-0.0199999
20180103 103107,0.0100001
20180103 103107,0.0000001
20180103 103107,0.0200001
20180103 103109,0.0000001
20180103 103109,-0.0099999
20180103 103109,0.0000001
20180103 103109,0.0400001
20180103 103126,0.0100001
20180103 103126,0.0300001
20180103 103127,-0.0199999
20180103 103151,0.0000001
20180103 103153,0.0000001
20180103 103158,0.0100001
20180103 103247,0.0000001
20180103 103247,0.0400001
20180103 103247,0.0000001
20180103 103247,0.0200001
20180103 103301,0.0000001
20180103 103301,0.0000001
20180103 103301,0.0000001
20180103 103301,0.0000001
20180103 103301,0.0000001
20180103 103301,0.0100001
20180103 103301,0.0000001
20180103 103301,0.0200001
20180103 103303,0.0000001
20180103 103303,0.0000001
20180103 103304,-0.0199999
20180103 103325,0.0100001
20180103 103325,0.0200001
20180103 103338,0.0000001
20180103 103338,0.0000001
20180103 103340,0.0000001
20180103 103359,-0.0099999
20180103 103402,0.0000001
20180103 103402,0.0000001
20180103 103409,0.0100001
20180103 103409,0.0200001
20180103 103409,0.0000001
20180103 103409,0.0000001
20180103 103409,0.0000001
20180103 103409,0.0000001
20180103 103409,0.0000001
20180103 103409,0.0000001
20180103 103409,0.0000001
20180103 103409,0.0000001
20180103 103409,0.0000001
20180103 103409,0.0100001
20180103 103409,0.0000001
20180103 103409,0.0000001
20180103 103409,0.0400001
20180103 103409,0.0100001
20180103 103409,0.0000001
20180103 103410,0.0000001
20180103 103410,0.0000001
20180103 103410,0.0000001
20180103 103411,0.0000001
20180103 103411,0.0000001
20180103 103412,0.0000001
20180103 103412,0.0000001
20180103 103412,0.0000001
20180103 103413,0.0000001
20180103 103414,0.0000001
20180103 103414,0.0100001
20180103 103414,0.0000001
20180103 103414,0.0000001
20180103 103414,0.0100001
20180103 103414,-0.0099999
20180103 103415,0.0200001
20180103 103415,0.0000001
20180103 103415,0.0000001
20180103 103415,0.0000001
20180103 103417,0.0000001
20180103 103417,0.0000001
20180103 103417,-0.0099999
20180103 103420,0.0000001
20180103 103427,0.0000001
20180103 103432,0.0000001
20180103 103434,0.0000001
20180103 103437,0.0000001
20180103 103439,0.0000001
20180103 103441,-0.0099999
20180103 103451,-0.0199999
20180103 103456,0.0000001
20180103 103456,0.0000001
20180103 103457,0.0300001
20180103 103457,-0.0299999
20180103 103509,0.0000001
20180103 103511,0.0000001
20180103 103511,0.0000001
20180103 103513,-0.0199999
20180103 103520,0.0300001
20180103 103540,0.0100001
20180103 103557,0.0100001
20180103 103557,0.0000001
20180103 103558,0.0000001
20180103 103558,0.0000001
20180103 103558,0.0000001
20180103 103558,0.0000001
20180103 103558,0.0100001
20180103 103558,0.0000001
20180103 103558,0.0000001
20180103 103558,0.0000001
20180103 103558,0.0100001
20180103 103558,0.0000001
20180103 103558,0.0000001
20180103 103558,0.0100001
20180103 103558,0.0100001
20180103 103558,0.0000001
20180103 103558,0.0100001
20180103 103558,0.0000001
20180103 103558,0.0100001
20180103 103558,0.0000001
20180103 103558,0.0000001
20180103 103558,0.0100001
20180103 103558,0.0100001
20180103 103558,0.0000001
20180103 103558,0.0000001
20180103 103558,0.0000001
20180103 103559,0.0000001
20180103 103559,0.0000001
20180103 103600,0.0000001
20180103 103603,0.0100001
20180103 103603,0.0000001
20180103 103603,0.0000001
20180103 103603,0.0000001
20180103 103603,0.0000001
20180103 103603,0.0000001
20180103 103603,0.0000001
20180103 103603,0.0000001
20180103 103603,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0100001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0100001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0100001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0100001
20180103 103604,0.0000001
20180103 103604,0.0100001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0100001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0100001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0100001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0100001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103604,0.0100001
20180103 103604,0.0000001
20180103 103604,0.0000001
20180103 103605,0.0000001
20180103 103605,-0.0099999
20180103 103605,0.0100001
20180103 103605,0.0000001
20180103 103605,0.0000001
20180103 103605,0.0000001
20180103 103605,0.0000001
20180103 103606,0.0000001
20180103 103608,0.0000001
20180103 103610,0.0000001
20180103 103610,-0.0299999
20180103 103612,-0.0399999
20180103 103612,0.0100001
20180103 103615,-0.0099999
20180103 103615,0.0000001
20180103 103616,-0.0099999
20180103 103616,0.0100001
20180103 103616,0.0100001
20180103 103616,0.0000001
20180103 103621,0.0400001
20180103 103627,-0.0299999
20180103 103633,0.0400001
20180103 103655,0.0000001
20180103 103655,-0.0199999
20180103 103655,0.0200001
20180103 103700,0.0000001
20180103 103700,0.0100001
20180103 103700,0.0000001
20180103 103700,0.0000001
20180103 103700,0.0000001
20180103 103700,0.0000001
20180103 103703,0.0100001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0100001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0100001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0100001
20180103 103712,0.0000001
20180103 103712,0.0100001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0100001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0100001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0100001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0000001
20180103 103712,0.0100001
20180103 103712,0.0100001
20180103 103712,0.0000001
20180103 103713,0.0000001
20180103 103713,0.0000001
20180103 103713,0.0000001
20180103 103713,0.0000001
20180103 103713,0.0000001
20180103 103713,0.0000001
20180103 103714,0.0000001
20180103 103717,0.0000001
20180103 103717,0.0000001
20180103 103718,0.0000001
20180103 103718,-0.0199999
20180103 103722,-0.0199999
20180103 103722,-0.0299999
20180103 103722,0.0000001
20180103 103722,0.0200001
20180103 103722,0.0100001
20180103 103722,0.0100001
20180103 103722,0.0000001
20180103 103723,0.0200001
20180103 103727,0.0000001
20180103 103732,0.0100001
20180103 103734,0.0000001
20180103 103734,0.0000001
20180103 103734,0.0000001
20180103 103734,0.0100001
20180103 103734,0.0000001
20180103 103734,0.0000001
20180103 103734,0.0000001
20180103 103734,0.0000001
20180103 103734,0.0000001
20180103 103734,0.0000001
20180103 103734,0.0100001
20180103 103734,0.0000001
20180103 103734,0.0000001
20180103 103734,0.0000001
20180103 103734,0.0000001
20180103 103734,0.0000001
20180103 103734,0.0000001
20180103 103734,0.0000001
20180103 103734,0.0000001
20180103 103734,0.0100001
20180103 103734,0.0000001
20180103 103734,0.0000001
20180103 103734,0.0000001
20180103 103734,0.0000001
20180103 103734,0.0000001
20180103 103734,0.0000001
20180103 103734,0.0000001
20180103 103734,0.0000001
20180103 103734,0.0000001
20180103 103734,0.0000001
20180103 103734,0.0000001
20180103 103734,0.0000001
20180103 103734,0.0000001
20180103 103734,0.0000001
20180103 103734,0.0000001
20180103 103734,0.0000001
20180103 103734,0.0000001
20180103 103734,0.0000001
20180103 103734,0.0000001
20180103 103734,0.0000001
20180103 103734,0.0200001
20180103 103734,0.0000001
20180103 103734,0.0100001
20180103 103734,0.0000001
20180103 103734,0.0000001
20180103 103734,0.0100001
20180103 103734,-0.0499999
20180103 103735,-0.0199999
20180103 103735,0.0000001
20180103 103735,0.0000001
20180103 103735,0.0000001
20180103 103735,0.0000001
20180103 103735,0.0000001
20180103 103735,0.0000001
20180103 103735,0.0000001
20180103 103735,0.0000001
20180103 103735,0.0000001
20180103 103735,0.0100001
20180103 103745,0.0000001
20180103 103746,0.0200001
20180103 103748,0.0100001
20180103 103748,0.0000001
20180103 103748,0.0100001
20180103 103748,0.0100001
20180103 103748,-0.0099999
20180103 103754,0.0100001
20180103 103754,0.0000001
20180103 103758,0.0000001
20180103 103759,0.0000001
20180103 103759,0.0000001
20180103 103759,0.0000001
20180103 103759,0.0000001
20180103 103759,-0.0399999
20180103 103800,-0.0199999
20180103 103801,0.0200001
20180103 103807,0.0000001
20180103 103807,-0.0199999
20180103 103807,0.0000001
20180103 103807,0.0000001
20180103 103807,-0.0099999
20180103 103807,0.0300001
20180103 103815,-0.0199999
20180103 103825,-0.0099999
20180103 103825,-0.0399999
20180103 103825,0.0000001
20180103 103826,0.0000001
20180103 103826,0.0000001
20180103 103826,0.0000001
20180103 103826,-0.0199999
20180103 103826,0.0000001
20180103 103826,0.0100001
20180103 103827,0.0000001
20180103 103827,-0.0099999
20180103 103828,0.0300001
20180103 103830,0.0300001
20180103 103834,0.0100001
20180103 103840,0.0000001
20180103 103852,0.0100001
20180103 103852,0.0100001
20180103 103853,0.0000001
20180103 103853,0.0100001
20180103 103853,0.0000001
20180103 103854,0.0000001
20180103 103854,0.0000001
20180103 103854,0.0000001
20180103 103854,0.0200001
20180103 103854,0.0200001
20180103 103854,0.0000001
20180103 103854,0.0000001
20180103 103854,0.0000001
20180103 103854,0.0100001
20180103 103854,0.0000001
20180103 103854,0.0000001
20180103 103854,0.0000001
20180103 103854,0.0000001
20180103 103857,-0.0199999
20180103 103858,0.0000001
20180103 103859,-0.0099999
20180103 103859,0.0300001
20180103 103859,-0.0199999
20180103 103859,-0.0099999
20180103 103859,0.0000001
20180103 103902,0.0000001
20180103 103903,-0.0199999
20180103 103905,-0.0099999
20180103 103905,-0.0099999
20180103 103905,0.0400001
20180103 103909,-0.0199999
20180103 103916,0.0000001
20180103 103922,-0.0199999
20180103 103922,0.0000001
20180103 103936,0.0400001
20180103 103945,0.0000001
20180103 103957,-0.0099999
20180103 103957,-0.0099999
20180103 103957,0.0000001
20180103 103957,-0.0099999
20180103 103957,0.0000001
20180103 103957,-0.0099999
20180103 103957,0.0000001
20180103 103957,-0.0099999
20180103 103957,0.0000001
20180103 103957,0.0000001
20180103 103957,-0.0099999
20180103 103957,0.0000001
20180103 103957,0.0000001
20180103 103957,-0.0099999
20180103 103957,0.0000001
20180103 103957,0.0000001
20180103 103957,0.0400001
20180103 103957,-0.0399999
20180103 104011,0.0600001
20180103 104011,0.0000001
20180103 104011,0.0000001
20180103 104013,0.0100001
20180103 104014,0.0300001
20180103 104014,0.0000001
20180103 104015,0.0000001
20180103 104015,0.0000001
20180103 104015,-0.0399999
20180103 104018,0.0400001
20180103 104020,0.0000001
20180103 104020,-0.0399999
20180103 104022,-0.0199999
20180103 104025,-0.0399999
20180103 104033,0.0000001
20180103 104040,0.0100001
20180103 104042,0.0400001
20180103 104049,-0.0299999
20180103 104052,0.0300001
20180103 104102,0.0100001
20180103 104102,0.0000001
20180103 104102,0.0000001
20180103 104102,0.0400001
20180103 104102,0.0000001
20180103 104102,0.0000001
20180103 104102,-0.0199999
20180103 104103,0.0300001
20180103 104104,0.0000001
20180103 104104,0.0000001
20180103 104104,0.0100001
20180103 104105,0.0000001
20180103 104105,0.0000001
20180103 104105,0.0000001
20180103 104105,0.0000001
20180103 104105,0.0000001
20180103 104105,0.0000001
20180103 104105,0.0000001
20180103 104105,0.0000001
20180103 104105,0.0000001
20180103 104105,0.0100001
20180103 104105,0.0000001
20180103 104105,0.0000001
20180103 104105,0.0000001
20180103 104105,0.0000001
20180103 104105,0.0000001
20180103 104105,0.0100001
20180103 104105,0.0000001
20180103 104106,-0.0199999
20180103 104107,-0.0299999
20180103 104107,0.0300001
20180103 104107,-0.0299999
20180103 104107,0.0300001
20180103 104111,0.0100001
20180103 104111,0.0100001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0100001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0100001
20180103 104111,0.0100001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0100001
20180103 104111,0.0000001
20180103 104111,0.0100001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0100001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104111,0.0000001
20180103 104112,0.0100001
20180103 104112,0.0100001
20180103 104112,0.0000001
20180103 104112,0.0000001
20180103 104112,0.0000001
20180103 104112,0.0000001
20180103 104113,0.0000001
20180103 104116,0.0000001
20180103 104116,0.0000001
20180103 104117,0.0000001
20180103 104117,-0.0199999
20180103 104117,0.0200001
20180103 104117,0.0000001
20180103 104117,0.0000001
20180103 104117,0.0000001
20180103 104117,-0.0299999
20180103 104121,0.0100001
20180103 104121,-0.0099999
20180103 104121,0.0100001
20180103 104121,0.0100001
20180103 104121,0.0000001
20180103 104121,0.0100001
20180103 104121,0.0000001
20180103 104121,-0.0099999
20180103 104121,0.0100001
20180103 104121,0.0100001
20180103 104121,0.0000001
20180103 104121,0.0000001
20180103 104121,0.0000001
20180103 104121,-0.0299999
20180103 104121,0.0200001
20180103 104121,-0.0099999
20180103 104121,0.0100001
20180103 104121,0.0000001
20180103 104121,0.0100001
20180103 104121,-0.0599999
20180103 104121,0.0600001
20180103 104123,0.0000001
20180103 104123,0.0000001
20180103 104123,0.0100001
20180103 104123,0.0000001
20180103 104123,0.0000001
20180103 104123,0.0100001
20180103 104123,-0.0499999
20180103 104124,0.0200001
20180103 104124,0.0300001
20180103 104124,0.0000001
20180103 104124,0.0000001
20180103 104124,0.0000001
20180103 104124,0.0000001
20180103 104124,0.0000001
20180103 104124,0.0000001
20180103 104124,0.0000001
20180103 104124,0.0000001
20180103 104124,0.0000001
20180103 104124,0.0000001
20180103 104124,0.0000001
20180103 104124,0.0100001
20180103 104124,0.0000001
20180103 104124,0.0000001
20180103 104124,0.0000001
20180103 104124,0.0000001
20180103 104124,0.0100001
20180103 104124,0.0000001
20180103 104124,0.0000001
20180103 104124,0.0000001
20180103 104124,0.0100001
20180103 104124,0.0000001
20180103 104124,0.0000001
20180103 104124,0.0000001
20180103 104124,0.0000001
20180103 104124,0.0100001
20180103 104124,0.0000001
20180103 104124,0.0000001
20180103 104124,0.0000001
20180103 104124,0.0000001
20180103 104124,0.0000001
20180103 104124,0.0100001
20180103 104124,0.0000001
20180103 104124,-0.0499999
20180103 104124,0.0000001
20180103 104125,0.0000001
20180103 104125,0.0300001
20180103 104129,0.0100001
20180103 104129,-0.0099999
20180103 104129,0.0100001
20180103 104129,0.0000001
20180103 104129,-0.0399999
20180103 104132,0.0200001
20180103 104132,0.0100001
20180103 104135,0.0200001
20180103 104135,0.0000001
20180103 104135,0.0000001
20180103 104135,0.0000001
20180103 104135,0.0200001
20180103 104135,0.0000001
20180103 104135,0.0000001
20180103 104135,0.0000001
20180103 104135,0.0100001
20180103 104135,0.0000001
20180103 104135,0.0000001
20180103 104135,0.0100001
20180103 104135,0.0000001
20180103 104135,0.0000001
20180103 104135,0.0000001
20180103 104135,0.0000001
20180103 104135,0.0100001
20180103 104135,0.0000001
20180103 104135,0.0000001
20180103 104135,0.0000001
20180103 104135,0.0000001
20180103 104135,0.0000001
20180103 104135,0.0000001
20180103 104135,0.0000001
20180103 104135,0.0000001
20180103 104135,0.0000001
20180103 104135,0.0000001
20180103 104135,0.0000001
20180103 104135,0.0000001
20180103 104135,0.0000001
20180103 104135,0.0000001
20180103 104135,0.0000001
20180103 104135,0.0100001
20180103 104135,0.0000001
20180103 104135,0.0000001
20180103 104135,0.0000001
20180103 104135,0.0000001
20180103 104135,0.0000001
20180103 104135,0.0100001
20180103 104135,0.0000001
20180103 104135,0.0000001
20180103 104135,0.0100001
20180103 104135,0.0000001
20180103 104135,0.0000001
20180103 104135,0.0100001
20180103 104135,0.0000001
20180103 104135,0.0100001
20180103 104135,0.0000001
20180103 104135,0.0000001
20180103 104135,-0.0199999
20180103 104135,0.0000001
20180103 104135,-0.0099999
20180103 104135,0.0000001
20180103 104136,0.0000001
20180103 104136,0.0100001
20180103 104136,-0.0099999
20180103 104136,0.0000001
20180103 104136,0.0000001
20180103 104136,-0.0099999
20180103 104136,-0.0199999
20180103 104136,-0.0099999
20180103 104136,0.0200001
20180103 104136,-0.0199999
20180103 104136,-0.0199999
20180103 104136,0.0100001
20180103 104136,-0.0099999
20180103 104136,-0.0099999
20180103 104136,-0.0099999
20180103 104136,-0.0699999
20180103 104136,-0.0099999
20180103 104136,-0.0099999
20180103 104136,-0.0099999
20180103 104136,0.1200001
20180103 104137,-0.0099999
20180103 104137,0.0000001
20180103 104137,0.0000001
20180103 104137,-0.0099999
20180103 104137,-0.0099999
20180103 104137,0.0000001
20180103 104137,0.0000001
20180103 104138,-0.0399999
20180103 104139,0.0000001
20180103 104139,0.0300001
20180103 104140,0.0000001
20180103 104140,-0.0899999
20180103 104141,0.0000001
20180103 104141,0.0300001
20180103 104142,0.0000001
20180103 104143,0.0100001
20180103 104143,0.0100001
20180103 104143,0.0000001
20180103 104143,0.0100001
20180103 104143,0.0000001
20180103 104143,0.0000001
20180103 104143,0.0100001
20180103 104143,0.0000001
20180103 104143,0.0000001
20180103 104143,0.0000001
20180103 104143,0.0000001
20180103 104143,-0.0499999
20180103 104143,-0.0199999
20180103 104143,0.0000001
20180103 104143,0.0200001
20180103 104143,0.0000001
20180103 104143,0.0500001
20180103 104145,0.0000001
20180103 104145,0.0000001
20180103 104145,0.0000001
20180103 104145,-0.0299999
20180103 104145,0.0000001
20180103 104145,0.0000001
20180103 104145,0.0000001
20180103 104145,0.0000001
20180103 104145,0.0000001
20180103 104150,0.0000001
20180103 104150,-0.0099999
20180103 104150,0.0000001
20180103 104150,-0.0099999
20180103 104150,-0.0199999
20180103 104150,-0.0099999
20180103 104150,0.0000001
20180103 104150,-0.0099999
20180103 104150,0.0000001
20180103 104150,0.0000001
20180103 104150,0.0000001
20180103 104150,-0.0099999
20180103 104150,0.0000001
20180103 104150,0.0000001
20180103 104150,0.0000001
20180103 104150,-0.0099999
20180103 104150,-0.0099999
20180103 104150,0.1000001
20180103 104150,-0.0699999
20180103 104151,0.0700001
20180103 104152,-0.0699999
20180103 104153,0.0700001
20180103 104154,0.0100001
20180103 104154,0.0100001
20180103 104154,0.0000001
20180103 104154,0.0000001
20180103 104154,-0.0899999
20180103 104157,0.0000001
20180103 104201,0.0000001
20180103 104206,0.0000001
20180103 104206,0.0500001
20180103 104209,-0.0299999
20180103 104215,0.0000001
20180103 104215,0.0000001
20180103 104215,0.0000001
20180103 104221,0.0000001
20180103 104222,0.0000001
20180103 104222,0.0000001
20180103 104222,0.0000001
20180103 104222,-0.0499999
20180103 104229,-0.0099999
20180103 104229,0.0600001
20180103 104230,-0.0699999
20180103 104240,-0.0299999
20180103 104240,0.0000001
20180103 104240,-0.0099999
20180103 104240,-0.0099999
20180103 104240,0.0000001
20180103 104243,0.0000001
20180103 104244,0.0000001
20180103 104244,-0.0099999
20180103 104244,0.0800001
20180103 104246,0.0000001
20180103 104250,0.0000001
20180103 104250,0.0200001
20180103 104250,0.0000001
20180103 104255,0.0000001
20180103 104255,0.0000001
20180103 104255,0.0200001
20180103 104255,0.0300001
20180103 104255,-0.0299999
20180103 104258,-0.0399999
20180103 104308,0.0500001
20180103 104311,0.0200001
20180103 104311,0.0000001
20180103 104311,-0.0599999
20180103 104312,0.0000001
20180103 104312,-0.0099999
20180103 104312,0.0600001
20180103 104316,0.0000001
20180103 104316,-0.1199999
20180103 104328,0.0200001
20180103 104337,0.0000001
20180103 104338,-0.0199999
20180103 104339,0.0000001
20180103 104339,0.0000001
20180103 104339,-0.0099999
20180103 104343,0.0000001
20180103 104349,0.0000001
20180103 104349,0.0700001
20180103 104353,-0.0099999
20180103 104357,0.0000001
20180103 104357,-0.0599999
20180103 104407,0.0700001
20180103 104408,-0.0099999
20180103 104408,0.0000001
20180103 104414,-0.0599999
20180103 104414,0.0000001
20180103 104414,0.0000001
20180103 104414,0.0000001
20180103 104414,-0.0099999
20180103 104414,0.0000001
20180103 104436,0.0000001
20180103 104436,0.0000001
20180103 104436,0.0000001
20180103 104436,0.0000001
20180103 104436,-0.0099999
20180103 104436,-0.0299999
20180103 104436,-0.0099999
20180103 104436,-0.0099999
20180103 104436,0.0000001
20180103 104436,0.0000001
20180103 104436,-0.0099999
20180103 104436,-0.0099999
20180103 104436,-0.0099999
20180103 104436,-0.0099999
20180103 104437,0.0000001
20180103 104437,-0.0299999
20180103 104437,0.0200001
20180103 104439,0.0100001
20180103 104448,-0.0199999
20180103 104449,0.0600001
20180103 104450,0.0000001
20180103 104450,0.0000001
20180103 104450,0.0000001
20180103 104450,0.0100001
20180103 104450,0.0300001
20180103 104450,0.0000001
20180103 104450,0.0100001
20180103 104450,0.0000001
20180103 104450,0.0100001
20180103 104450,0.0000001
20180103 104450,0.0100001
20180103 104450,0.0100001
20180103 104450,0.0600001
20180103 104450,-0.0699999
20180103 104454,-0.0099999
20180103 104454,0.0500001
20180103 104507,-0.0399999
20180103 104511,0.0600001
20180103 104519,-0.0699999
20180103 104531,-0.0399999
20180103 104540,0.0000001
20180103 104540,0.0000001
20180103 104558,0.0000001
20180103 104558,0.0000001
20180103 104558,-0.0099999
20180103 104558,0.0000001
20180103 104558,-0.0099999
20180103 104558,-0.0199999
20180103 104558,-0.0199999
20180103 104558,-0.0099999
20180103 104558,-0.0299999
20180103 104558,0.0000001
20180103 104558,-0.0199999
20180103 104558,0.0000001
20180103 104558,0.0800001
20180103 104558,0.0100001
20180103 104559,0.0200001
20180103 104617,-0.0099999
20180103 104618,-0.0199999
20180103 104644,-0.0099999
20180103 104644,-0.0099999
20180103 104644,0.0000001
20180103 104644,-0.0099999
20180103 104644,-0.0099999
20180103 104644,0.0600001
20180103 104652,-0.0099999
20180103 104652,-0.0499999
20180103 104657,0.0500001
20180103 104703,0.0000001
20180103 104703,-0.0599999
20180103 104704,0.0000001
20180103 104704,0.0600001
20180103 104705,0.0000001
20180103 104705,0.0100001
20180103 104706,0.0000001
20180103 104706,0.0000001
20180103 104706,0.0000001
20180103 104706,0.0500001
20180103 104706,0.0000001
20180103 104706,-0.0499999
20180103 104707,0.0000001
20180103 104707,0.0000001
20180103 104707,-0.0499999
20180103 104730,-0.0199999
20180103 104739,0.0000001
20180103 104751,0.0000001
20180103 104751,0.0000001
20180103 104753,0.0100001
20180103 104759,0.0000001
20180103 104759,0.0000001
20180103 104759,0.0000001
20180103 104759,0.0000001
20180103 104801,0.0000001
20180103 104801,0.0000001
20180103 104801,-0.0499999
20180103 104807,0.0000001
20180103 104807,0.0000001
20180103 104807,0.0000001
20180103 104807,0.0000001
20180103 104807,-0.0099999
20180103 104807,0.0100001
20180103 104813,0.0300001
20180103 104817,-0.0399999
20180103 104819,0.0000001
20180103 104846,0.0000001
20180103 104846,0.0000001
20180103 104846,0.0000001
20180103 104846,-0.0099999
