<DATETIME>,<RETURN>
20180103 100047,-0.1099999
20180103 100049,0.0900001
20180103 100051,-0.2399999
20180103 100054,0.2300001
20180103 100055,0.0300001
20180103 100055,0.0100001
20180103 100055,0.0100001
20180103 100055,-0.0399999
20180103 100055,-0.1899999
20180103 100057,-0.0099999
20180103 100057,-0.0099999
20180103 100057,-0.0199999
20180103 100057,0.0500001
20180103 100105,-0.0099999
20180103 100105,-0.0199999
20180103 100105,-0.0299999
20180103 100105,0.1400001
20180103 100106,0.0200001
20180103 100106,0.0000001
20180103 100106,0.0200001
20180103 100106,0.0000001
20180103 100106,-0.1399999
20180103 100106,0.0000001
20180103 100106,0.0000001
20180103 100106,0.0000001
20180103 100106,-0.0099999
20180103 100106,0.0000001
20180103 100106,0.0000001
20180103 100106,0.0000001
20180103 100106,0.0000001
20180103 100106,0.0100001
20180103 100106,0.0000001
20180103 100106,-0.0199999
20180103 100111,0.0000001
20180103 100111,0.1100001
20180103 100113,-0.0999999
20180103 100114,0.1000001
20180103 100115,0.0000001
20180103 100115,0.0000001
20180103 100115,0.0000001
20180103 100115,0.0000001
20180103 100118,0.0000001
20180103 100118,0.0000001
20180103 100122,0.0000001
20180103 100122,0.0000001
20180103 100122,0.0100001
20180103 100122,-0.0699999
20180103 100123,0.1300001
20180103 100124,0.0100001
20180103 100124,0.0000001
20180103 100124,0.0000001
20180103 100124,-0.0699999
20180103 100127,0.0000001
20180103 100127,0.0500001
20180103 100131,0.0000001
20180103 100131,0.0100001
20180103 100131,-0.0699999
20180103 100134,0.0000001
20180103 100134,-0.0799999
20180103 100143,0.0100001
20180103 100152,0.0000001
20180103 100152,-0.0399999
20180103 100155,-0.0199999
20180103 100155,0.0000001
20180103 100201,0.0000001
20180103 100201,0.0000001
20180103 100201,0.0000001
20180103 100202,0.0600001
20180103 100207,-0.0099999
20180103 100220,-0.0099999
20180103 100220,0.0000001
20180103 100220,0.0000001
20180103 100220,0.0000001
20180103 100220,0.0000001
20180103 100220,0.0100001
20180103 100231,0.0000001
20180103 100231,-0.0099999
20180103 100231,0.0000001
20180103 100231,0.0700001
20180103 100233,0.0000001
20180103 100234,0.0100001
20180103 100236,0.0000001
20180103 100236,0.0000001
20180103 100236,0.0000001
20180103 100236,0.0000001
20180103 100236,0.0000001
20180103 100236,0.0000001
20180103 100236,0.0000001
20180103 100236,0.0000001
20180103 100236,-0.0699999
20180103 100238,0.0000001
20180103 100238,0.1000001
20180103 100238,0.0100001
20180103 100238,-0.0699999
